name,gitUrl,commitID,repoName,clone,pomExist,hasHierarchicalPom,lastCommitDate
dropwizard:dropwizard-flyway,https://github.com/dropwizard/dropwizard-flyway.git,c6e33c9e3e01aa3cb1167bfb5217a2933f957755,dropwizard-flyway,true,true,false,2024-05-27 04:48:15 +0000
vitalidze:chromecast-java-api-v2,https://github.com/vitalidze/chromecast-java-api-v2.git,c1358030b1b6afa11dc2a83a0049783e7b5bef7e,chromecast-java-api-v2,true,true,false,2020-11-20 17:28:22 +0300
jcgay:maven-color,https://github.com/jcgay/maven-color.git,867eb67b296aaf336049e6eada92d49bfd50e9de,maven-color,true,true,true,
simplenlg:simplenlg,https://github.com/simplenlg/simplenlg.git,47686090f52c5bf873f77fa6139c34aac1ea8ec3,simplenlg,true,true,false,2022-09-14 17:52:24 +0200
tranchis:xsd2thrift,https://github.com/tranchis/xsd2thrift.git,bed6227265c3dda6176940b085118e5341f07ffa,xsd2thrift,true,true,false,2016-11-30 12:03:23 +0100
lukas-krecan:JsonUnit,https://github.com/lukas-krecan/JsonUnit.git,04496d455fed4228c26b4ec2b9a095fec6ab7a6a,JsonUnit,true,true,true,
QualInsight:qualinsight-plugins-sonarqube-smell,https://github.com/QualInsight/qualinsight-plugins-sonarqube-smell.git,61c37a9d89e251bcee42e698b2706e6bd26d66ca,qualinsight-plugins-sonarqube-smell,true,true,true,
jnidzwetzki:bitfinex-v2-wss-api-java,https://github.com/jnidzwetzki/bitfinex-v2-wss-api-java.git,411866622233c1c54815e385be50a0f1db63d7d7,bitfinex-v2-wss-api-java,true,true,false,2024-04-21 14:19:35 +0200
neoremind:easy-mapper,https://github.com/neoremind/easy-mapper.git,372d3fa5b72cf5fb6f90cc4c10ada2c96b016a1b,easy-mapper,true,true,true,
eclipse-ee4j:tyrus,https://github.com/eclipse-ee4j/tyrus.git,bd63f2afbd12bd7b05c8ffc70dbf96d5d72a2f5e,tyrus,true,true,true,
giltene:jHiccup,https://github.com/giltene/jHiccup.git,d2e18b8e9f42c60e67633bf7fc00b91cd321136b,jHiccup,true,true,false,2021-09-19 13:46:48 -0700
igniterealtime:Openfire,https://github.com/igniterealtime/Openfire.git,a8f983fce12bf66bcce6c29e382255d21a1696b4,Openfire,true,true,true,
apache:commons-jexl,https://github.com/apache/commons-jexl.git,395516851e1ffdd241220bb45a19248a0464dfa1,commons-jexl,true,true,false,2024-05-25 10:46:45 +0200
vanilladb:vanillacore,https://github.com/vanilladb/vanillacore.git,03e1f2df49bb9664c8bdae11cf911f56b74bbc57,vanillacore,true,true,false,2023-04-30 14:40:34 +0800
Blackdread:canon-sdk-java,https://github.com/Blackdread/canon-sdk-java.git,41f75c11a1d41bf66558250e40716052bf48a240,canon-sdk-java,true,true,true,
pircbotx:pircbotx,https://github.com/pircbotx/pircbotx.git,8770da9677523d3f12ad06e4ff9a90a87bfed1d0,pircbotx,true,true,false,2024-01-02 15:34:53 +0100
OpenFeign:feign,https://github.com/OpenFeign/feign.git,a2602bf0088e789aa4806801ceb215a2b3a135b3,feign,true,true,true,
ferstl:depgraph-maven-plugin,https://github.com/ferstl/depgraph-maven-plugin.git,79879cb08a11a89222e02cdfea4f3ab4331c5d07,depgraph-maven-plugin,true,true,true,
knowm:Sundial,https://github.com/knowm/Sundial.git,b1e5a2ea1f6ef6f122bc6f1eb5bda32d3a6a85b7,Sundial,true,true,false,2024-04-18 22:37:23 +0200
johnnymongiat:oath,https://github.com/johnnymongiat/oath.git,3fea7a43b213761158835ebb36ee0999afaa1c02,oath,true,true,true,
jwtk:jjwt,https://github.com/jwtk/jjwt.git,754324879d55a374856e9e5d48e028b906fa293a,jjwt,true,true,true,
sudohippie:throttle,https://github.com/sudohippie/throttle.git,287def25c13ca2f0d857e6af384520906d9c68cb,throttle,true,true,false,2016-03-15 20:08:51 -0700
