name,gitUrl,commitID,repoName
cloudevents:sdk-java,https://github.com/cloudevents/sdk-java.git,b0a6101,sdk-java
markhobson:hamcrest-compose,https://github.com/markhobson/hamcrest-compose.git,83ca6a6,hamcrest-compose
anshooarora:extentreports-java,https://github.com/anshooarora/extentreports-java.git,6111525,extentreports-java
ExpediaDotCom:adaptive-alerting,https://github.com/ExpediaDotCom/adaptive-alerting.git,4f48fef5,adaptive-alerting
rometools:rome,https://github.com/rometools/rome.git,1674074,rome
SonarSource:sonar-scanner-maven,https://github.com/SonarSource/sonar-scanner-maven.git,7570fc4,sonar-scanner-maven
paypal:sdk-core-java,https://github.com/paypal/sdk-core-java.git,42e793e,sdk-core-java
ronmamo:reflections,https://github.com/ronmamo/reflections.git,43ee4af,reflections
FasterXML:jackson-modules-java8,https://github.com/FasterXML/jackson-modules-java8.git,d1c4048,jackson-modules-java8
ltearno:hexa.tools,https://github.com/ltearno/hexa.tools.git,604c804,hexa.tools
opentracing-contrib:java-kafka-client,https://github.com/opentracing-contrib/java-kafka-client.git,a205947,java-kafka-client
mgormley:pacaya,https://github.com/mgormley/pacaya.git,786294cb,pacaya
sofastack:sofa-tracer,https://github.com/sofastack/sofa-tracer.git,00689cb,sofa-tracer
zalando:failsafe-actuator,https://github.com/zalando/failsafe-actuator.git,f04fa68,failsafe-actuator
penberg:fjord,https://github.com/penberg/fjord.git,e4acdda,fjord
osglworks:java-di,https://github.com/osglworks/java-di.git,a65dfe8,java-di
augustd:burp-suite-error-message-checks,https://github.com/augustd/burp-suite-error-message-checks.git,42a4dc5,burp-suite-error-message-checks
jsonld-java:jsonld-java,https://github.com/jsonld-java/jsonld-java.git,1bd182c,jsonld-java
cassiomolin:jersey-jwt,https://github.com/cassiomolin/jersey-jwt.git,e008115,jersey-jwt
git-commit-id:maven-git-commit-id-plugin,https://github.com/git-commit-id/maven-git-commit-id-plugin.git,49a41de,maven-git-commit-id-plugin
GoogleCloudPlatform:appengine-tck,https://github.com/GoogleCloudPlatform/appengine-tck.git,a5c504b,appengine-tck
orbisgis:cts,https://github.com/orbisgis/cts.git,1bced33,cts
OpenGamma:Strata,https://github.com/OpenGamma/Strata.git,27206d662,Strata
rcarz:jira-client,https://github.com/rcarz/jira-client.git,868a5ca,jira-client
atomix:copycat,https://github.com/atomix/copycat.git,c90b88cc,copycat
letcheng:ProxyPool,https://github.com/letcheng/ProxyPool.git,4b5144d,ProxyPool
tracee:tracee,https://github.com/tracee/tracee.git,15a68e43,tracee
jhalterman:lyra,https://github.com/jhalterman/lyra.git,ce347a6,lyra
opentracing-contrib:java-jdbc,https://github.com/opentracing-contrib/java-jdbc.git,3f91b83,java-jdbc
spotify:dataenum,https://github.com/spotify/dataenum.git,7f34285,dataenum
jdillon:mvnsh,https://github.com/jdillon/mvnsh.git,06a25d4,mvnsh
sofastack:sofa-acts,https://github.com/sofastack/sofa-acts.git,11a2591,sofa-acts
astefanutti:metrics-aspectj,https://github.com/astefanutti/metrics-aspectj.git,24fe6bb,metrics-aspectj
LWJGLX:lwjgl3-awt,https://github.com/LWJGLX/lwjgl3-awt.git,45a85af,lwjgl3-awt
ctran:TinyRadius,https://github.com/ctran/TinyRadius.git,a5b77fc,TinyRadius
FasterXML:woodstox,https://github.com/FasterXML/woodstox.git,df8d164,woodstox
SonarSource:sonar-scanner-cli,https://github.com/SonarSource/sonar-scanner-cli.git,460cee1,sonar-scanner-cli
gmr:rabbitmq-flume-plugin,https://github.com/gmr/rabbitmq-flume-plugin.git,a53a094,rabbitmq-flume-plugin
pagehelper:Mybatis-PageHelper,https://github.com/pagehelper/Mybatis-PageHelper.git,fc90181,Mybatis-PageHelper
sps:mustache-spring-view,https://github.com/sps/mustache-spring-view.git,84f7979,mustache-spring-view
searchisko:elasticsearch-river-jira,https://github.com/searchisko/elasticsearch-river-jira.git,487a9d8,elasticsearch-river-jira
QianmiOpen:dubbo-remoting-netty4,https://github.com/QianmiOpen/dubbo-remoting-netty4.git,9817f20,dubbo-remoting-netty4
mitre:HTTP-Proxy-Servlet,https://github.com/mitre/HTTP-Proxy-Servlet.git,46240b5,HTTP-Proxy-Servlet
zalando-incubator:catwatch,https://github.com/zalando-incubator/catwatch.git,27a659a,catwatch
svendiedrichsen:jollyday,https://github.com/svendiedrichsen/jollyday.git,0227015,jollyday
xiaolongzuo:everyone-java-blog,https://github.com/xiaolongzuo/everyone-java-blog.git,dcf0ac3,everyone-java-blog
hcoles:pitest,https://github.com/hcoles/pitest.git,afbc7131,pitest
apache:commons-configuration,https://github.com/apache/commons-configuration.git,14c0de75,commons-configuration
rapid7:le_java,https://github.com/rapid7/le_java.git,ab042d9,le_java
radkovo:Pdf2Dom,https://github.com/radkovo/Pdf2Dom.git,abcb6b2,Pdf2Dom
lightblue-platform:lightblue-core,https://github.com/lightblue-platform/lightblue-core.git,ff1b4b04,lightblue-core
snowflakedb:snowflake-jdbc,https://github.com/snowflakedb/snowflake-jdbc.git,669d415,snowflake-jdbc
swagger-api:swagger-socket,https://github.com/swagger-api/swagger-socket.git,116be44,swagger-socket
DarLiner:weixin-java-tools,https://github.com/DarLiner/weixin-java-tools.git,2d665723,weixin-java-tools
timgifford:maven-buildtime-extension,https://github.com/timgifford/maven-buildtime-extension.git,909d4ad,maven-buildtime-extension
aragozin:jvm-tools,https://github.com/aragozin/jvm-tools.git,86e8a81,jvm-tools
Esri:geometry-api-java,https://github.com/Esri/geometry-api-java.git,961b535,geometry-api-java
v12technology:fluxtion,https://github.com/v12technology/fluxtion.git,5e7b4ddf,fluxtion
dropwizard:metrics,https://github.com/dropwizard/metrics.git,a817c491,metrics
google:jimfs,https://github.com/google/jimfs.git,4fce17b,jimfs
ligboy:retrofit-converter-fastjson,https://github.com/ligboy/retrofit-converter-fastjson.git,66ba5dc,retrofit-converter-fastjson
wensiqun:asmsupport,https://github.com/wensiqun/asmsupport.git,8f55792,asmsupport
PhantomThief:model-view-builder,https://github.com/PhantomThief/model-view-builder.git,1c6985e,model-view-builder
fridujo:rabbitmq-mock,https://github.com/fridujo/rabbitmq-mock.git,9cfd603,rabbitmq-mock
highj:highj,https://github.com/highj/highj.git,e8169db,highj
github:maven-plugins,https://github.com/github/maven-plugins.git,8d6d493,maven-plugins
jingweno:gaffer,https://github.com/jingweno/gaffer.git,5704f4d,gaffer
mojohaus:appassembler,https://github.com/mojohaus/appassembler.git,fbea666,appassembler
geckoboard-java-api:highchart-java-api,https://github.com/geckoboard-java-api/highchart-java-api.git,66776cb,highchart-java-api
strepsirrhini-army:chaos-lemur,https://github.com/strepsirrhini-army/chaos-lemur.git,b496cd5,chaos-lemur
petterobam:mds2index.html,https://github.com/petterobam/mds2index.html.git,bdb1609,mds2index.html
fivesmallq:web-data-extractor,https://github.com/fivesmallq/web-data-extractor.git,f8fdd82,web-data-extractor
sangupta:bloomfilter,https://github.com/sangupta/bloomfilter.git,4531914,bloomfilter
