name,gitUrl,commitID,repoName,lastCommitDate
trekawek:toxiproxy-java,https://github.com/trekawek/toxiproxy-java.git,5cf48d9383b3045789f8d2c9c2e20b0c2d694643,toxiproxy-java,2024-03-02 15:46:38 +0100
thelinmichael:spotify-web-api-java,https://github.com/thelinmichael/spotify-web-api-java.git,cfd0dae1262bd7f95f90c37b28d27b9c944d471a,spotify-web-api-java,2024-04-04 21:08:38 +0000
davidmoten:rtree,https://github.com/davidmoten/rtree.git,0413ef89a2234dcb953fc0307859ff3bdfa13add,rtree,2024-04-03 11:16:13 +0000
stoicflame:ofx4j,https://github.com/stoicflame/ofx4j.git,e0093d7f562d1655b4e54ec8b67d3f5426e88602,ofx4j,2023-08-03 11:28:12 -0600
trekawek:coffee-gb,https://github.com/trekawek/coffee-gb.git,a35849d783545b113dc454929fe27687537f3b2f,coffee-gb,2024-03-05 19:19:15 +0100
j-easy:easy-random,https://github.com/j-easy/easy-random.git,51150d4621c4ec6d534d99e6a71eeaeb2e11caaf,easy-random,2023-09-09 22:48:13 +0200
leonchen83:redis-rdb-cli,https://github.com/leonchen83/redis-rdb-cli.git,eb98bb08b9216e7e48582ff82744696ff4938c5a,redis-rdb-cli,2024-02-21 17:57:29 +0800
vert-x3:vertx-kafka-client,https://github.com/vert-x3/vertx-kafka-client.git,e9cb45513d2ad6e7af6a3b946ba6f5eb54a97689,vertx-kafka-client,2024-01-31 09:58:47 +0100
jhalterman:sarge,https://github.com/jhalterman/sarge.git,9fc14a62298d0b1abf109a1d3d5d75a3134ccb68,sarge,2023-04-11 18:45:44 -0700
mybatis:freemarker-scripting,https://github.com/mybatis/freemarker-scripting.git,d781ab105444c8462e6209a86d24c2dbed46ed78,freemarker-scripting,2024-04-03 19:49:39 -0400
forgemo:bittrex-java-client,https://github.com/forgemo/bittrex-java-client.git,e588a3111fb8f3468a9cf5b004fdf9ddaf1b6fd6,bittrex-java-client,2023-08-20 23:22:58 +0200
gitbucket:markedj,https://github.com/gitbucket/markedj.git,8e8c627cd3aaefea2bd36ba432d93bae7547c5de,markedj,2024-03-25 20:17:29 +0900
jmrozanec:cron-utils,https://github.com/jmrozanec/cron-utils.git,d31697ec4c30d4f43a1b528e5781d1d00ea1c967,cron-utils,2023-03-26 18:32:07 +0200
blueshen:ik-analyzer,https://github.com/blueshen/ik-analyzer.git,67ccb98201295212d5f76ec0e8fb923e47b97f30,ik-analyzer,2023-12-18 15:56:16 +0800
realrolfje:anonimatron,https://github.com/realrolfje/anonimatron.git,caab43036647d6058aba9f1f5cce5ec3b8982e92,anonimatron,2023-11-05 20:33:47 +0100
coveooss:saml-client,https://github.com/coveooss/saml-client.git,7039d8df616362c3a9ade16deb36672ddd8c7661,saml-client,2024-03-29 10:24:08 -0400
mailjet:mailjet-apiv3-java,https://github.com/mailjet/mailjet-apiv3-java.git,50a72a2b53c7b277fe41f3acaae8ff778d87553e,mailjet-apiv3-java,2023-12-13 11:47:52 +0200
mybatis:velocity-scripting,https://github.com/mybatis/velocity-scripting.git,77d3009ea98c86ae594e1613b564411f39b3954a,velocity-scripting,2024-04-03 19:52:37 -0400
sofastack:sofa-hessian,https://github.com/sofastack/sofa-hessian.git,54bc9654c7f1a573e3e5d92479be9223d9573895,sofa-hessian,2023-06-29 12:04:15 +0800
leangen:graphql-spqr,https://github.com/leangen/graphql-spqr.git,f49d7e93f8743361abafea5188f42182fd1dd7ae,graphql-spqr,2024-01-07 15:03:37 +0100
siom79:jdrivesync,https://github.com/siom79/jdrivesync.git,9c346ca1f7f2c40f84f9a5332b3f07c5c78ab88a,jdrivesync,2023-09-25 18:19:19 +0000
simplenlg:simplenlg,https://github.com/simplenlg/simplenlg.git,47686090f52c5bf873f77fa6139c34aac1ea8ec3,simplenlg,2022-09-14 17:52:24 +0200
ctran:TinyRadius,https://github.com/ctran/TinyRadius.git,c5d4463c32bb5142a4fa5f8526b4a93f24afacb2,TinyRadius,2022-02-02 05:42:53 +0000
radkovo:Pdf2Dom,https://github.com/radkovo/Pdf2Dom.git,e19af5b44675c8a60a5c3597517f065ebaef88ec,Pdf2Dom,2022-10-17 11:27:48 +0200
PhantomThief:model-view-builder,https://github.com/PhantomThief/model-view-builder.git,835417ad9c8e7677610010569f281d2f8b341e16,model-view-builder,2022-02-23 16:28:41 +0800
highj:highj,https://github.com/highj/highj.git,2e18c459904833ef4928558859193c8c9ea54927,highj,2022-04-16 18:25:27 +0200
fivesmallq:web-data-extractor,https://github.com/fivesmallq/web-data-extractor.git,c2a12c84080e56121d85fa2fa5cd19ec48a82bb9,web-data-extractor,2022-09-02 17:44:43 +0800
sangupta:bloomfilter,https://github.com/sangupta/bloomfilter.git,5c7769f7ed19cc0eb2860cc0e1d4c0159830cd9e,bloomfilter,2022-04-21 22:05:11 -0700
danielwegener:logback-kafka-appender,https://github.com/danielwegener/logback-kafka-appender.git,e7fc2cda394804693ef991390dc0f544542c35f7,logback-kafka-appender,2022-05-27 08:53:02 +0200
FasterXML:aalto-xml,https://github.com/FasterXML/aalto-xml.git,0820590fcf56ec3d5ca14608d6145e14e56f2650,aalto-xml,2022-10-16 18:26:14 -0700
vidageek:crawler,https://github.com/vidageek/crawler.git,43d5d16364a7f50a17c16a0b378326b1f2b03eab,crawler,2022-03-31 13:17:30 -0300
