name,gitUrl,commitID,repoName,lastCommitDate
mgormley:pacaya,https://github.com/mgormley/pacaya.git,786294cbac7cc65dbc32210c10acc32ed0c69233,pacaya,2017-07-06 09:08:51 -0400
zalando:failsafe-actuator,https://github.com/zalando/failsafe-actuator.git,4b286761ebf817016ed6092645dfcbd9138a34fd,failsafe-actuator,2021-09-21 10:46:44 +0200
penberg:fjord,https://github.com/penberg/fjord.git,e4acdda6681d162567cb817c49674d3050dd7d75,fjord,2015-04-23 21:32:38 +0300
osglworks:java-di,https://github.com/osglworks/java-di.git,43d0249beb5b726f44393aa4d9eab837525c64bf,java-di,2020-06-27 12:56:03 +1000
augustd:burp-suite-error-message-checks,https://github.com/augustd/burp-suite-error-message-checks.git,d60247f69bc5fb9c9ef8bf8430b5b30fdc23e503,burp-suite-error-message-checks,2023-12-15 01:56:54 -0800
cassiomolin:jersey-jwt,https://github.com/cassiomolin/jersey-jwt.git,eb6bc8cbc3400ed75c733d7c4dccd3e7135c9aac,jersey-jwt,2020-01-15 14:45:33 +0000
git-commit-id:maven-git-commit-id-plugin,https://github.com/git-commit-id/maven-git-commit-id-plugin.git,d256eb418ef9fa8e98657bb18319e5cf7f75dfe0,maven-git-commit-id-plugin,2024-04-01 11:52:51 +0200
orbisgis:cts,https://github.com/orbisgis/cts.git,379f2e34d7c4f329d70ca1e51c89107fa9450577,cts,2024-01-02 18:01:02 +0100
rcarz:jira-client,https://github.com/rcarz/jira-client.git,868a5ca8977e0c13b792aeed7a793d55cea743ec,jira-client,2017-07-02 12:30:38 -0700
letcheng:ProxyPool,https://github.com/letcheng/ProxyPool.git,4b5144d917dbc31c7b9a2d78135a52a59da9c313,ProxyPool,2017-03-04 21:45:02 +0800
jhalterman:lyra,https://github.com/jhalterman/lyra.git,3282627d83e2a939d7f540ce0249728cce08eea4,lyra,2023-04-11 18:44:51 -0700
opentracing-contrib:java-jdbc,https://github.com/opentracing-contrib/java-jdbc.git,6722745cbbd61fce8550dd8e1e0d8a828a1e7a3c,java-jdbc,2021-07-21 11:04:03 +0800
LWJGLX:lwjgl3-awt,https://github.com/LWJGLX/lwjgl3-awt.git,c8ac94ddc5a46ed9fed5ffdd13af8f369956acd8,lwjgl3-awt,2023-12-30 14:30:28 -0500
ctran:TinyRadius,https://github.com/ctran/TinyRadius.git,c5d4463c32bb5142a4fa5f8526b4a93f24afacb2,TinyRadius,2022-02-02 05:42:53 +0000
FasterXML:woodstox,https://github.com/FasterXML/woodstox.git,fb357a2674c831c3c34a33e0e321937b4605838b,woodstox,2024-03-26 20:33:25 -0700
gmr:rabbitmq-flume-plugin,https://github.com/gmr/rabbitmq-flume-plugin.git,b4c9db81cd64ef84f58d32047ee753c0994f65a3,rabbitmq-flume-plugin,2020-02-25 15:51:11 -0500
pagehelper:Mybatis-PageHelper,https://github.com/pagehelper/Mybatis-PageHelper.git,30dd0f31e05513f5c6782c241ad10d8e17bf2391,Mybatis-PageHelper,2024-01-30 13:08:12 +0800
sps:mustache-spring-view,https://github.com/sps/mustache-spring-view.git,84f7979456c4327dcee43229838be0380978cc58,mustache-spring-view,2016-11-09 21:25:55 +0000
searchisko:elasticsearch-river-jira,https://github.com/searchisko/elasticsearch-river-jira.git,487a9d8804165ad02264f4300b3ebd11346df6df,elasticsearch-river-jira,2018-04-17 12:49:30 +0200
QianmiOpen:dubbo-remoting-netty4,https://github.com/QianmiOpen/dubbo-remoting-netty4.git,9817f20ac62918c8b52b22a78ae7de18a203497a,dubbo-remoting-netty4,2015-04-08 19:11:20 +0800
mitre:HTTP-Proxy-Servlet,https://github.com/mitre/HTTP-Proxy-Servlet.git,b953eeb0842fcadc6a584014611b7b0782f145f8,HTTP-Proxy-Servlet,2023-08-05 23:13:05 -0400
svendiedrichsen:jollyday,https://github.com/svendiedrichsen/jollyday.git,a86a9d7cb6ce74b096d33260aa291ab33370d0de,jollyday,2022-07-12 12:13:09 +0200
apache:commons-configuration,https://github.com/apache/commons-configuration.git,d5317443c6e304ffe06004347406168168552984,commons-configuration,2024-04-05 12:46:23 -0400
rapid7:le_java,https://github.com/rapid7/le_java.git,a349a08b0f43b027cfc261c8e56cea2ed3cc5c51,le_java,2021-12-12 00:51:20 +0000
radkovo:Pdf2Dom,https://github.com/radkovo/Pdf2Dom.git,e19af5b44675c8a60a5c3597517f065ebaef88ec,Pdf2Dom,2022-10-17 11:27:48 +0200
Esri:geometry-api-java,https://github.com/Esri/geometry-api-java.git,5ec245c69b61ea1e121545db7a87041a87ddfc99,geometry-api-java,2024-03-04 09:55:19 -0800
PhantomThief:model-view-builder,https://github.com/PhantomThief/model-view-builder.git,835417ad9c8e7677610010569f281d2f8b341e16,model-view-builder,2022-02-23 16:28:41 +0800
highj:highj,https://github.com/highj/highj.git,2e18c459904833ef4928558859193c8c9ea54927,highj,2022-04-16 18:25:27 +0200
jingweno:gaffer,https://github.com/jingweno/gaffer.git,5704f4de1d438cc6527f7f4b5a439940607ccd54,gaffer,2015-05-07 11:49:56 -0700
strepsirrhini-army:chaos-lemur,https://github.com/strepsirrhini-army/chaos-lemur.git,b496cd5083feae742b110f67bf5deedbd90938c2,chaos-lemur,2018-08-10 13:59:33 -0700
petterobam:mds2index.html,https://github.com/petterobam/mds2index.html.git,2758730f51895a6e5db6a3c043844e0c258abf21,mds2index.html,2021-07-07 23:04:48 +0800
fivesmallq:web-data-extractor,https://github.com/fivesmallq/web-data-extractor.git,c2a12c84080e56121d85fa2fa5cd19ec48a82bb9,web-data-extractor,2022-09-02 17:44:43 +0800
sangupta:bloomfilter,https://github.com/sangupta/bloomfilter.git,5c7769f7ed19cc0eb2860cc0e1d4c0159830cd9e,bloomfilter,2022-04-21 22:05:11 -0700
apache:commons-dbcp,https://github.com/apache/commons-dbcp.git,7d86c98b3bafa01bd423ecb0be2e9857bbb1fb2d,commons-dbcp,2024-04-05 05:12:22 -0400
indexiatech:antiquity,https://github.com/indexiatech/antiquity.git,4f5cec3256fe78296ea4637bdc89c27a392e07d5,antiquity,2014-08-14 22:36:24 +0300
making:spring-boot-blank,https://github.com/making/spring-boot-blank.git,f70b3fee54d2f5b457786f680543da1d297979df,spring-boot-blank,2015-10-17 17:51:12 +0900
peterchenhdu:tankbattle,https://github.com/peterchenhdu/tankbattle.git,a6b5bc4187af57ebb72c0e2515e49cadf6c39cd4,tankbattle,2021-01-04 16:58:22 +0800
takezoe:xlsbeans,https://github.com/takezoe/xlsbeans.git,ff1565d59f61212f6c0ad6dbce2634aec4248fe2,xlsbeans,2020-10-16 10:24:54 +0900
danielwegener:logback-kafka-appender,https://github.com/danielwegener/logback-kafka-appender.git,e7fc2cda394804693ef991390dc0f544542c35f7,logback-kafka-appender,2022-05-27 08:53:02 +0200
